case,x,v_x_0
h=0,0.0264,0.023684904263789074
h=0,0.0268,0.024061915438353176
h=0,0.027200000000000002,0.024438889534060745
h=0,0.027600000000000003,0.024815826348601713
h=0,0.028,0.025192725679586712
h=0,0.0284,0.025569587324546214
h=0,0.028800000000000003,0.025946411080931486
h=0,0.0292,0.02632319674611468
h=0,0.0296,0.026699944117389057
h=0,0.030000000000000002,0.027076652991969995
h=0,0.0304,0.02745332316699257
h=0,0.0308,0.027829954439516302
h=0,0.031200000000000002,0.02820654660652053
h=0,0.0316,0.02858309946490941
h=0,0.032,0.028959612811507014
h=0,0.0324,0.02933608644306257
h=0,0.0328,0.029712520156247844
h=0,0.0332,0.0300889137476583
h=0,0.033600000000000005,0.03046526701381183
h=0,0.034,0.030841579751152395
h=0,0.0344,0.031217851756046515
h=0,0.034800000000000005,0.03159408282478669
h=0,0.0352,0.031970272753588096
h=0,0.0356,0.032346421338593376
h=0,0.036000000000000004,0.03272252837586907
h=0,0.0364,0.03309859366140756
h=0,0.0368,0.03347461699112728
h=0,0.037200000000000004,0.033850598160872124
h=0,0.0376,0.03422653696641404
h=0,0.038,0.03460243320344919
h=0,0.038400000000000004,0.03497828666760259
h=0,0.0388,0.035354097154425654
h=0,0.0392,0.03572986445939673
h=0,0.0396,0.036105588377923666
h=0,0.04,0.03648126870534044
h=0,0.040400000000000005,0.036856905236909994
h=0,0.0408,0.03723249776782359
h=0,0.0412,0.03760804609320182
h=0,0.041600000000000005,0.037983550008093496
h=0,0.042,0.03835900930747822
h=0,0.0424,0.038734423786263114
h=0,0.042800000000000005,0.03910979323928665
h=0,0.0432,0.03948511746131742
h=0,0.0436,0.03986039624705333
h=0,0.044000000000000004,0.040235629391124496
h=0,0.0444,0.040610816688090516
h=0,0.0448,0.04098595793244339
h=0,0.045200000000000004,0.04136105291860626
h=0,0.0456,0.041736101440933045
h=0,0.046,0.04211110329371143
h=0,0.046400000000000004,0.04248605827116071
h=0,0.0468,0.04286096616743183
h=0,0.0472,0.04323582677660996
h=0,0.0476,0.04361063989271302
h=0,0.048,0.04398540530969214
h=0,0.048400000000000006,0.04436012282143178
h=0,0.0488,0.04473479222175164
h=0,0.0492,0.04510941330440464
h=0,0.049600000000000005,0.0454839858630777
h=0,0.05,0.04585850969139433
h=0,0.0504,0.04623298458291176
h=0,0.050800000000000005,0.04660741033112322
h=0,0.0512,0.04698178672945676
h=0,0.0516,0.04735611357127751
h=0,0.052000000000000005,0.04773039064988553
